date,start,end,remind
2023-07-01,12,21,It's payday!💰🎇
2023-07-02,16,21,
2023-07-03,,,
2023-07-04,12,21,
2023-07-05,14,21,
2023-07-06,12,21,
2023-07-07,13,21,
2023-07-08,12,21,
2023-07-09,16,21,
2023-07-10,,,
2023-07-11,12,21,
2023-07-12,14,21,
2023-07-13,13,21,
2023-07-14,,,
2023-07-15,12,21,
2023-07-16,16,21,
2023-07-17,,,
2023-07-18,,,
2023-07-19,,,
2023-07-20,,,
2023-07-21,,,
2023-07-22,,,
2023-07-23,,,
2023-07-24,,,
2023-07-25,,,
2023-07-26,,,
2023-07-27,,,
2023-07-28,,,
2023-07-29,,,
2023-07-30,,,
2023-07-31,,,
